id	image_id	caption	height	width	file_name	coco_url
6517	60340	A zebra in front of a group of large rocks standing next to a tree.	480	640	COCO_val2014_000000060340.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000060340.jpg
6621	27326	A pan on the stove with vegetables, tofu noodles and water in it	375	500	COCO_val2014_000000027326.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000027326.jpg
6868	247179	A festival procession with decorated live elephants and uniformed people.	427	640	COCO_val2014_000000247179.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000247179.jpg
8162	177064	A woman standing in a grove while holding a black umbrella	640	427	COCO_val2014_000000177064.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000177064.jpg
8353	263299	Large black train system surrounded by trees and nature.	335	500	COCO_val2014_000000263299.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000263299.jpg
8455	310278	A young man riding a bike past a car while talking on a cell phone.	478	640	COCO_val2014_000000310278.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000310278.jpg
8892	548361	A baseball player is squatting down with his mitt raised.	626	640	COCO_val2014_000000548361.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000548361.jpg
9104	267035	A sesame seed bagel with a filling is cut in half on a plate.	480	640	COCO_val2014_000000267035.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000267035.jpg
9108	427091	City traffic and pedestrians are headed in multiple directions on the street.	442	640	COCO_val2014_000000427091.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000427091.jpg
9639	422157	A yellow city bus traveling down a busy street.	427	640	COCO_val2014_000000422157.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000422157.jpg
9862	65485	A dog driving an SUV in an open grass covered field.	364	640	COCO_val2014_000000065485.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000065485.jpg
10059	213457	A man going of a jump while skiing	427	640	COCO_val2014_000000213457.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000213457.jpg
10228	178980	A laptop computer on a desk with a lamp and office supplies.	480	640	COCO_val2014_000000178980.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000178980.jpg
10287	334609	A woman dressed in black standing on a sidewalk.	640	480	COCO_val2014_000000334609.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000334609.jpg
10625	295768	Computer monitor and accesories sitting on a desk.	427	640	COCO_val2014_000000295768.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000295768.jpg
10879	161022	A sky full of a flock of birds on a cloudy day.	406	640	COCO_val2014_000000161022.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000161022.jpg
10887	274416	Pink and yellow flowers are in a brown vase.	640	480	COCO_val2014_000000274416.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000274416.jpg
10915	194754	A snowboarder is in the air against the blue sky.	640	480	COCO_val2014_000000194754.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000194754.jpg
11127	523400	A bathroom with double sinks, mirrors, toilet and towel racks.	640	480	COCO_val2014_000000523400.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000523400.jpg
11429	4212	A cat rests on the hood of a blue car.	419	640	COCO_val2014_000000004212.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000004212.jpg
11680	231954	A woman skiing on the snowy slopes.	612	612	COCO_val2014_000000231954.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000231954.jpg
11912	16761	Two adorable dogs side on opposite sides of a pot filled with beautiful flowers.	427	640	COCO_val2014_000000016761.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000016761.jpg
12022	512836	A woman with a red umbrella is walking two dogs in the snow.	640	480	COCO_val2014_000000512836.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000512836.jpg
12242	51598	A black trash bag in a restroom next to a sink.	640	360	COCO_val2014_000000051598.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000051598.jpg
12326	248956	A young man riding a skate board while airborne.	500	334	COCO_val2014_000000248956.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000248956.jpg
12500	536321	An adorable caleco cat sitting underneath a bicycle.	480	640	COCO_val2014_000000536321.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000536321.jpg
12501	148272	An adorable cat attempts to hide in a purse to steal the persons identity.	375	500	COCO_val2014_000000148272.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000148272.jpg
12650	88040	Multiple plates of different types of food on a  table.	640	427	COCO_val2014_000000088040.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000088040.jpg
12651	390201	Stuffed teddy bears and an eagle on a bamboo wall hanging.	427	640	COCO_val2014_000000390201.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000390201.jpg
12728	547903	A street sign located just below two large high rise hotels.	480	640	COCO_val2014_000000547903.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000547903.jpg
12934	179327	A woman standing in front of an open refrigerator in a kitchen.	500	500	COCO_val2014_000000179327.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000179327.jpg
13033	326248	Two tennis players consult with the referee during a tennis match.	427	640	COCO_val2014_000000326248.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000326248.jpg
13086	340588	Man flying a kite in the crowded park.	482	640	COCO_val2014_000000340588.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000340588.jpg
13801	375078	A dried black flower in a long, tall black & white vase.	640	480	COCO_val2014_000000375078.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000375078.jpg
13828	65430	A spotted dog is chasing another dog outside	307	640	COCO_val2014_000000065430.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000065430.jpg
13893	13175	Boy in college shirt riding skateboard along curved rail.	640	427	COCO_val2014_000000013175.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000013175.jpg
14037	261805	Several people are at an airport with their luggage.	480	640	COCO_val2014_000000261805.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000261805.jpg
14138	330754	A man and woman in western clothing standing in front of a trailer.	500	375	COCO_val2014_000000330754.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000330754.jpg
14139	341118	A person is on a living room couch watching TV and there is a stuffed panda bear and a purse on the table.	479	640	COCO_val2014_000000341118.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000341118.jpg
14240	534373	Young women playing a game of softball in the hot sun.	457	640	COCO_val2014_000000534373.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000534373.jpg
14341	493295	A cat sleeps on top of a computer mouse.	480	640	COCO_val2014_000000493295.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000493295.jpg
14472	63740	Two computers sitting on top of a desk.	480	640	COCO_val2014_000000063740.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000063740.jpg
14599	409030	A young man using his smart phone while perched on cement.	640	426	COCO_val2014_000000409030.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000409030.jpg
14742	304305	A mother and son elephant walking through a green grass field.	480	640	COCO_val2014_000000304305.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000304305.jpg
14754	21284	A person surfing in the middle of a wave.	370	640	COCO_val2014_000000021284.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000021284.jpg
14970	277674	Six candles are sticking out of a blue cake.	425	640	COCO_val2014_000000277674.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000277674.jpg
15203	173166	Two giraffes are housed in a pen.	500	375	COCO_val2014_000000173166.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000173166.jpg
15308	43133	A picture of several people in a sail boat in the ocean.	436	640	COCO_val2014_000000043133.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000043133.jpg
15325	552979	A cat looking inside of a door from the outside.	375	500	COCO_val2014_000000552979.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000552979.jpg
15327	289714	A person in a kitchen looking at the oven.	292	640	COCO_val2014_000000289714.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000289714.jpg
15404	19523	two women loading their bicycles onto a bus rack	480	640	COCO_val2014_000000019523.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000019523.jpg
15430	393277	A clock statue surrounded by city traffic and streets.	640	378	COCO_val2014_000000393277.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000393277.jpg
15515	358410	A bird standing on a ledge looking out.	500	332	COCO_val2014_000000358410.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000358410.jpg
15667	135037	A zebra and boar running through a field.	427	640	COCO_val2014_000000135037.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000135037.jpg
16022	326332	Boy on a skateboard in a skateboard park.	500	331	COCO_val2014_000000326332.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000326332.jpg
16493	313789	Many calendars and bunches of bananas hanging on a wall.	376	500	COCO_val2014_000000313789.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000313789.jpg
16654	204098	An old train moving on a train track.	429	640	COCO_val2014_000000204098.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000204098.jpg
16703	430750	People walking toward an airplane to board it.	427	640	COCO_val2014_000000430750.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000430750.jpg
16805	21029	A man hitting a ball with a bat while two other men watch.	427	640	COCO_val2014_000000021029.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000021029.jpg
16930	370462	A ski resort that has a couple people outside.	480	640	COCO_val2014_000000370462.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000370462.jpg
17094	500752	Two elephants in the water with their mouths together.	554	640	COCO_val2014_000000500752.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000500752.jpg
17127	205570	A woman uses a paintbrush on a melting candle.	480	640	COCO_val2014_000000205570.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000205570.jpg
17315	471235	A banana hanging that has gone bad and something else I can't make out.	640	493	COCO_val2014_000000471235.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000471235.jpg
18015	523394	Shoes on a skateboard flipped upside down.	612	612	COCO_val2014_000000523394.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000523394.jpg
18315	561620	Light from an open door shines on a simple wooden pew in a church.	426	640	COCO_val2014_000000561620.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000561620.jpg
18345	239985	A dog with goggles is in a motorcycle side car.	427	640	COCO_val2014_000000239985.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000239985.jpg
18390	445982	A polar bear standing near a tree on grass	426	640	COCO_val2014_000000445982.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000445982.jpg
18429	363922	Father and son playing Nintendo video game at home.	427	640	COCO_val2014_000000363922.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000363922.jpg
18825	21588	An opened fire hydrant spewing water into the street.	333	500	COCO_val2014_000000021588.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000021588.jpg
19040	269873	Group of people crossing the street behind trolly.	485	640	COCO_val2014_000000269873.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000269873.jpg
19065	8180	A large airplane is on the airport runway.	418	640	COCO_val2014_000000008180.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000008180.jpg
19066	85772	A young man taking a swing at a tennis ball.	427	640	COCO_val2014_000000085772.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000085772.jpg
19200	207652	A parked motorcycle with a red enclosed side car.	448	640	COCO_val2014_000000207652.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000207652.jpg
19231	67660	A man with glowing shine has a violin.	360	640	COCO_val2014_000000067660.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000067660.jpg
19263	568337	Two little white boxes are on a mat.	480	640	COCO_val2014_000000568337.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000568337.jpg
20111	235057	A giraffe extends its tongue to drink water	640	480	COCO_val2014_000000235057.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000235057.jpg
20122	70761	A wake boarder getting major air on a very sunny day.	427	640	COCO_val2014_000000070761.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000070761.jpg
20558	295491	Military personal serving themselves food at an event.	400	640	COCO_val2014_000000295491.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000295491.jpg
20655	109486	A man sitting on a box on a walkway in a busy city.	640	427	COCO_val2014_000000109486.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000109486.jpg
20801	29656	A yellow fire hydrant on a busy sidewalk next to buildings.	640	426	COCO_val2014_000000029656.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000029656.jpg
20818	100711	Entertainment room with rack of dvds, tv and seating area.	333	500	COCO_val2014_000000100711.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000100711.jpg
20998	297562	A little baby is getting a haircut in a pink chair.	480	640	COCO_val2014_000000297562.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000297562.jpg
21163	349794	A massive tractor truck parked on a gravel road next to a forest.	427	640	COCO_val2014_000000349794.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000349794.jpg
21280	31606	Two refrigerators sitting next to each other in a kitchen with items stored on top of them.	332	500	COCO_val2014_000000031606.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000031606.jpg
21617	39430	Two sheep are looking over a cement wall.	359	640	COCO_val2014_000000039430.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000039430.jpg
21740	123843	A white bathroom has a white shower curtain.	404	640	COCO_val2014_000000123843.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000123843.jpg
22024	141317	A pan with three pieces of pepperoni pizza.	427	640	COCO_val2014_000000141317.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000141317.jpg
22225	98853	A man playing a game of tennis on a tennis court.	640	427	COCO_val2014_000000098853.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000098853.jpg
22525	190853	A half eaten banana being held by a human hand.	640	383	COCO_val2014_000000190853.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000190853.jpg
22552	131379	The browned cracked crust of a baked berry pie.	480	640	COCO_val2014_000000131379.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000131379.jpg
22888	105918	A flock of geese being chased by a dog.	427	640	COCO_val2014_000000105918.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000105918.jpg
23002	111874	A baseball player swinging at a pitch with the catcher behind him waiting for the ball.	425	640	COCO_val2014_000000111874.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000111874.jpg
23145	317015	Six teens playing frisbee in a field of grass	333	500	COCO_val2014_000000317015.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000317015.jpg
23183	53800	A father and son play a video game on the Nintendo Wii.	425	640	COCO_val2014_000000053800.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000053800.jpg
23310	351597	A computer station with one mac and a laptop are turned on.	426	640	COCO_val2014_000000351597.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000351597.jpg
23778	83067	Couple sailing a large sailboat on calm water.	640	425	COCO_val2014_000000083067.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000083067.jpg
23928	383018	A train moving overhead at a train station behind a tree.	425	640	COCO_val2014_000000383018.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000383018.jpg
24116	241876	A cat on the lid of a toilet looking perturbed.	375	500	COCO_val2014_000000241876.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000241876.jpg
24260	47361	A young man and woman sitting at a table.	480	640	COCO_val2014_000000047361.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000047361.jpg
24267	364113	Two people riding different colored horses down a dirty road.	426	640	COCO_val2014_000000364113.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000364113.jpg
24537	79920	A living room with a large tv and pictures all around.	375	500	COCO_val2014_000000079920.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000079920.jpg
24723	100187	A well lit living room with sofas and coffee table.	480	640	COCO_val2014_000000100187.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000100187.jpg
24916	334244	An ancient building has people around it and a clock on the outside.	640	480	COCO_val2014_000000334244.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000334244.jpg
25086	180584	Man relaxes on couch with pillows, blanket, and his computer.	480	640	COCO_val2014_000000180584.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000180584.jpg
25241	376368	A scene of a waterway with several boats.	640	427	COCO_val2014_000000376368.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000376368.jpg
25255	561780	A group of older people sitting on a park bench with a dog on a leash.	480	640	COCO_val2014_000000561780.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000561780.jpg
26755	20788	A woman hovering over food on a wooden table.	640	426	COCO_val2014_000000020788.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000020788.jpg
26791	488979	A herd of cattle standing on a pasture next to green crops.	335	640	COCO_val2014_000000488979.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000488979.jpg
26837	481819	Two men in pajamas standing and holding Wii controllers.	375	500	COCO_val2014_000000481819.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000481819.jpg
26883	570407	A mother and daughter playing a game of Frisbee on a sandy beach.	360	640	COCO_val2014_000000570407.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000570407.jpg
26928	383470	A freshly plowed street is a winter wonderland.	480	640	COCO_val2014_000000383470.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000383470.jpg
26948	460091	A hospital bed is in a very lived in room.	480	640	COCO_val2014_000000460091.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000460091.jpg
27141	434459	A man and a woman cutting up a big sheet cake.	457	640	COCO_val2014_000000434459.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000434459.jpg
27292	302193	A long post with a clock atop it with several torches blazing behind it	640	480	COCO_val2014_000000302193.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000302193.jpg
27636	330356	Giraffe walking around a grassy field under a cloudy sky.	480	640	COCO_val2014_000000330356.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000330356.jpg
27679	366576	Various equine (horses and zebras) inside stalls under a tent.	480	640	COCO_val2014_000000366576.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000366576.jpg
27693	519529	A man cutting a cake on a kitchen table.	359	640	COCO_val2014_000000519529.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000519529.jpg
27999	165055	A pizza topped with fresh basil is on display.	480	640	COCO_val2014_000000165055.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000165055.jpg
28318	176306	A giraffe is standing near some large boulders.	480	640	COCO_val2014_000000176306.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000176306.jpg
28349	8128	A blue and white giraffe reaching for food up in a tall tree.	500	333	COCO_val2014_000000008128.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000008128.jpg
28350	453634	A bathroom with a toilette with it's seat down.	640	480	COCO_val2014_000000453634.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000453634.jpg
28405	127801	A hand holding a smartphone with a small screen.	640	429	COCO_val2014_000000127801.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000127801.jpg
28461	386589	A person riding a brown horse through a green pasture.	400	600	COCO_val2014_000000386589.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000386589.jpg
28503	374041	A man sitting on top of an elephant next to a tree.	480	640	COCO_val2014_000000374041.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000374041.jpg
28516	89225	A pole with a speed limit traffic sign posted on it.	523	640	COCO_val2014_000000089225.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000089225.jpg
28685	323000	People waiting to cross a street at a traffic light.	375	500	COCO_val2014_000000323000.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000323000.jpg
